Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,17.205999,17.219999,17.048000,17.048000,17.048000,15932
2021-01-11,17.049999,17.184000,17.014000,17.129999,17.129999,38703
2021-01-12,17.240000,17.375999,17.200001,17.364000,17.364000,37890
2021-01-13,17.292000,17.400000,17.243999,17.278000,17.278000,556113
2021-01-14,17.427999,17.486000,17.396000,17.448000,17.448000,40992
2021-01-15,17.378000,17.440001,17.184000,17.232000,17.232000,32549
2021-01-18,17.208000,17.330000,17.208000,17.294001,17.294001,16642
2021-01-19,17.469999,17.469999,17.252001,17.298000,17.298000,109960
2021-01-20,17.252001,17.322001,17.252001,17.275999,17.275999,24917
2021-01-21,17.296000,17.309999,17.164000,17.164000,17.164000,103658
2021-01-22,16.962000,16.986000,16.874001,16.898001,16.898001,38954
2021-01-25,16.986000,16.986000,16.719999,16.726000,16.726000,25471
2021-01-26,16.757999,16.914000,16.757999,16.830000,16.830000,28554
2021-01-27,16.736000,16.736000,16.493999,16.516001,16.516001,55176
2021-01-28,16.322001,16.690001,16.188000,16.620001,16.620001,12868
2021-01-29,16.320000,16.434000,16.292000,16.292000,16.292000,14404
2021-02-01,16.350000,16.521999,16.336000,16.441999,16.441999,15305
2021-02-02,16.577999,16.954000,16.577999,16.924000,16.924000,54152
2021-02-03,17.021999,17.021999,16.914000,16.944000,16.944000,39926
2021-02-04,16.993999,17.358000,16.993999,17.302000,17.302000,21890
2021-02-05,17.402000,17.472000,17.320000,17.389999,17.389999,25133
2021-02-08,17.414000,17.507999,17.384001,17.476000,17.476000,34520
2021-02-09,17.455999,17.504000,17.389999,17.452000,17.452000,85776
2021-02-10,17.506001,17.582001,17.444000,17.478001,17.478001,27092
2021-02-11,17.524000,17.530001,17.476000,17.486000,17.486000,53545
2021-02-12,17.440001,17.598000,17.406000,17.576000,17.576000,17023
2021-02-15,17.726000,17.862000,17.726000,17.832001,17.832001,25431
2021-02-16,17.832001,17.920000,17.799999,17.917999,17.917999,11187
2021-02-17,17.954000,18.028000,17.872000,17.974001,17.974001,20433
2021-02-18,17.959999,17.959999,17.796000,17.796000,17.796000,28063
2021-02-19,17.808001,18.024000,17.799999,17.988001,17.988001,19488
2021-02-22,17.917999,18.104000,17.896000,18.091999,18.091999,80628
2021-02-23,18.142000,18.188000,18.048000,18.160000,18.160000,43026
2021-02-24,18.152000,18.436001,18.118000,18.410000,18.410000,54502
2021-02-25,18.454000,18.562000,18.322001,18.322001,18.322001,40888
2021-02-26,18.082001,18.278000,17.900000,18.025999,18.025999,208688
2021-03-01,18.190001,18.420000,18.164000,18.420000,18.420000,53442
2021-03-02,18.382000,18.544001,18.370001,18.398001,18.398001,63597
2021-03-03,18.483999,18.680000,18.483999,18.662001,18.662001,73743
2021-03-04,18.582001,18.670000,18.510000,18.568001,18.568001,41273
2021-03-05,18.596001,18.868000,18.450001,18.518000,18.518000,148208
2021-03-08,18.826000,19.214001,18.826000,19.186001,19.186001,57723
2021-03-09,19.136000,19.195999,18.936001,19.120001,19.120001,40218
2021-03-10,19.034000,19.194000,19.000000,19.184000,19.184000,46476
2021-03-11,19.202000,19.228001,19.058001,19.184000,19.184000,65721
2021-03-12,19.114000,19.306000,19.114000,19.271999,19.271999,11770
2021-03-15,19.430000,19.452000,19.146000,19.184000,19.184000,61344
2021-03-16,19.326000,19.326000,19.066000,19.232000,19.232000,41554
2021-03-17,19.191999,19.323999,19.142000,19.208000,19.208000,28780
2021-03-18,19.312000,19.634001,19.312000,19.563999,19.563999,37219
2021-03-19,19.440001,19.441999,19.100000,19.242001,19.242001,207114
2021-03-22,19.114000,19.136000,18.954000,18.983999,18.983999,570637
2021-03-23,18.940001,19.048000,18.865999,19.028000,19.028000,38831
2021-03-24,18.813999,19.114000,18.785999,19.110001,19.110001,29356
2021-03-25,18.978001,19.138000,18.862000,19.138000,19.138000,30740
2021-03-26,19.382000,19.440001,19.288000,19.337999,19.337999,25363
2021-03-29,19.360001,19.360001,19.230000,19.250000,19.250000,117173
2021-03-30,19.388000,19.559999,19.388000,19.534000,19.534000,72128
2021-03-31,19.486000,19.497999,19.350000,19.360001,19.360001,15533
2021-04-01,19.350000,19.459999,19.320000,19.403999,19.403999,25369
2021-04-06,19.493999,19.566000,19.464001,19.464001,19.464001,38808
2021-04-07,19.441999,19.469999,19.382000,19.408001,19.408001,17298
2021-04-08,19.518000,19.598000,19.379999,19.434000,19.434000,57667
2021-04-09,19.532000,19.596001,19.493999,19.530001,19.530001,80416
2021-04-12,19.549999,19.596001,19.482000,19.596001,19.596001,20478
2021-04-13,19.694000,19.708000,19.398001,19.542000,19.542000,82158
2021-04-14,19.441999,19.610001,19.370001,19.610001,19.610001,80120
2021-04-15,19.620001,19.666000,19.408001,19.431999,19.431999,65556
2021-04-16,19.478001,19.642000,19.441999,19.606001,19.606001,69030
2021-04-19,19.610001,19.610001,19.490000,19.554001,19.554001,14563
2021-04-20,19.524000,19.524000,19.018000,19.128000,19.128000,142138
2021-04-21,19.242001,19.268000,19.087999,19.170000,19.170000,21170
2021-04-22,19.306000,19.308001,19.214001,19.308001,19.308001,26032
2021-04-23,19.222000,19.364000,19.112000,19.350000,19.350000,17054
2021-04-26,19.378000,19.600000,19.350000,19.577999,19.577999,37444
2021-04-27,19.544001,19.570000,19.464001,19.552000,19.552000,37431
2021-04-28,19.662001,19.750000,19.662001,19.694000,19.694000,24307
2021-04-29,19.770000,19.888000,19.752001,19.812000,19.812000,61917
2021-04-30,19.832001,19.889999,19.794001,19.840000,19.840000,24509
2021-05-03,19.917999,20.020000,19.827999,19.945999,19.945999,56903
2021-05-04,19.950001,20.030001,19.743999,19.820000,19.820000,29621
2021-05-05,20.070000,20.174999,20.040001,20.170000,20.170000,16147
2021-05-06,20.240000,20.250000,20.115000,20.219999,20.219999,71981
2021-05-07,20.360001,20.430000,20.150000,20.270000,20.270000,18747
2021-05-10,20.434999,20.540001,20.370001,20.530001,20.530001,12575
2021-05-11,20.320000,20.340000,19.964001,20.035000,20.035000,50575
2021-05-12,20.075001,20.264999,20.000000,20.205000,20.205000,89856
2021-05-13,19.850000,20.219999,19.750000,20.170000,20.170000,14930
2021-05-14,20.285000,20.420000,20.270000,20.420000,20.420000,35634
2021-05-17,20.405001,20.445000,20.305000,20.370001,20.370001,29886
2021-05-18,20.525000,20.530001,20.355000,20.379999,20.379999,19146
2021-05-19,20.120001,20.200001,19.836000,19.974001,19.974001,49593
2021-05-20,20.195000,20.225000,20.020000,20.225000,20.225000,70465
2021-05-21,20.215000,20.400000,20.160000,20.365000,20.365000,28977
2021-05-25,20.430000,20.504999,20.355000,20.355000,20.355000,17915
2021-05-26,20.330000,20.330000,20.205000,20.315001,20.315001,58100
2021-05-27,20.254999,20.565001,20.254999,20.455000,20.455000,24320
2021-05-28,20.625000,20.715000,20.530001,20.570000,20.570000,29766
2021-05-31,20.580000,20.590000,20.440001,20.455000,20.455000,33346
2021-06-01,20.575001,20.684999,20.555000,20.645000,20.645000,52757
2021-06-02,20.645000,20.740000,20.635000,20.715000,20.715000,103183
2021-06-03,20.684999,20.840000,20.600000,20.840000,20.840000,24922
2021-06-04,20.850000,20.865000,20.700001,20.740000,20.740000,20118
2021-06-07,20.790001,20.850000,20.674999,20.690001,20.690001,22744
2021-06-08,20.730000,20.730000,20.570000,20.639999,20.639999,27928
2021-06-09,20.635000,20.645000,20.430000,20.490000,20.490000,17602
2021-06-10,20.480000,20.715000,20.430000,20.455000,20.455000,46770
2021-06-11,20.334999,20.500000,20.315001,20.475000,20.475000,25660
2021-06-14,20.584999,20.584999,20.350000,20.350000,20.350000,17901
2021-06-15,20.424999,20.424999,20.320000,20.334999,20.334999,15409
2021-06-16,20.420000,20.430000,20.309999,20.389999,20.389999,28410
2021-06-17,20.580000,20.775000,20.424999,20.424999,20.424999,68967
2021-06-18,20.334999,20.334999,19.908001,20.004999,20.004999,41171
2021-06-21,19.742001,20.125000,19.742001,20.120001,20.120001,71773
2021-06-22,20.209999,20.235001,20.094999,20.174999,20.174999,47029
2021-06-23,20.230000,20.240000,20.105000,20.120001,20.120001,36740
2021-06-24,20.219999,20.295000,20.190001,20.295000,20.295000,25181
2021-06-25,20.410000,20.500000,20.375000,20.485001,20.485001,33785
2021-06-28,20.520000,20.530001,20.295000,20.295000,20.295000,39624
2021-06-29,20.355000,20.510000,20.355000,20.410000,20.410000,18387
2021-06-30,20.365000,20.389999,20.215000,20.385000,20.385000,62052
2021-07-01,20.465000,20.535000,20.400000,20.514999,20.514999,64718
2021-07-02,20.559999,20.600000,20.475000,20.475000,20.475000,11720
2021-07-05,20.504999,20.590000,20.424999,20.584999,20.584999,17461
2021-07-06,20.545000,20.580000,20.250000,20.290001,20.290001,233610
2021-07-07,20.379999,20.410000,20.264999,20.400000,20.400000,226887
2021-07-08,20.184999,20.195000,19.834000,20.000000,20.000000,126421
2021-07-09,20.055000,20.325001,20.035000,20.305000,20.305000,93804
2021-07-12,20.375000,20.485001,20.155001,20.485001,20.485001,68083
2021-07-13,20.549999,20.674999,20.389999,20.405001,20.405001,144882
2021-07-14,20.389999,20.520000,20.285000,20.285000,20.285000,112402
2021-07-15,20.260000,20.430000,20.205000,20.424999,20.424999,50004
2021-07-16,20.405001,20.455000,20.260000,20.270000,20.270000,50596
2021-07-19,20.049999,20.049999,19.538000,19.610001,19.610001,34639
2021-07-20,19.743999,20.075001,19.591999,19.980000,19.980000,200196
2021-07-21,20.059999,20.370001,20.059999,20.325001,20.325001,33241
2021-07-22,20.434999,20.490000,20.270000,20.280001,20.280001,4877
2021-07-23,20.355000,20.469999,20.334999,20.395000,20.395000,10948
2021-07-26,20.184999,20.395000,20.080000,20.395000,20.395000,43919
2021-07-27,20.325001,20.355000,20.184999,20.315001,20.315001,15406
2021-07-28,20.334999,20.400000,20.264999,20.355000,20.355000,17255
2021-07-29,20.385000,20.485001,20.344999,20.485001,20.485001,29691
2021-07-30,20.340000,20.535000,20.320000,20.395000,20.395000,34165
2021-08-02,20.500000,20.629999,20.410000,20.445000,20.445000,38693
2021-08-03,20.410000,20.495001,20.205000,20.450001,20.450001,231643
2021-08-04,20.535000,20.625000,20.370001,20.575001,20.575001,35756
2021-08-05,20.530001,20.735001,20.530001,20.725000,20.725000,49069
2021-08-06,20.780001,21.135000,20.760000,21.125000,21.125000,33420
2021-08-09,21.150000,21.245001,21.049999,21.235001,21.235001,99931
2021-08-10,21.230000,21.445000,21.219999,21.430000,21.430000,25115
2021-08-11,21.495001,21.605000,21.434999,21.605000,21.605000,30173
2021-08-12,21.645000,21.665001,21.570000,21.590000,21.590000,57154
2021-08-13,21.615000,21.655001,21.469999,21.469999,21.469999,70736
2021-08-16,21.344999,21.410000,21.215000,21.365000,21.365000,35602
2021-08-17,21.280001,21.370001,21.200001,21.370001,21.370001,44907
2021-08-18,21.315001,21.400000,21.235001,21.400000,21.400000,35053
2021-08-19,20.975000,21.090000,20.850000,20.934999,20.934999,16112
2021-08-20,20.924999,21.070000,20.820000,21.065001,21.065001,44251
2021-08-23,21.184999,21.245001,21.080000,21.240000,21.240000,9097
2021-08-24,21.250000,21.264999,21.174999,21.260000,21.260000,18834
2021-08-25,21.295000,21.490000,21.285000,21.485001,21.485001,19537
2021-08-26,21.405001,21.510000,21.370001,21.395000,21.395000,29976
2021-08-27,21.325001,21.459999,21.325001,21.445000,21.445000,12697
2021-08-30,21.455000,21.465000,21.260000,21.355000,21.355000,20283
2021-08-31,21.240000,21.290001,21.129999,21.290001,21.290001,217475
2021-09-01,21.350000,21.415001,21.145000,21.174999,21.174999,23843
2021-09-02,21.139999,21.245001,21.139999,21.240000,21.240000,34746
2021-09-03,21.215000,21.264999,21.090000,21.110001,21.110001,25120
2021-09-06,21.190001,21.270000,21.190001,21.245001,21.245001,13393
2021-09-07,21.155001,21.240000,21.155001,21.195000,21.195000,44869
2021-09-08,21.075001,21.150000,20.955000,21.035000,21.035000,24716
2021-09-09,20.895000,21.219999,20.834999,21.150000,21.150000,18306
2021-09-10,21.129999,21.219999,21.004999,21.020000,21.020000,37955
2021-09-13,21.174999,21.235001,21.105000,21.180000,21.180000,32655
2021-09-14,21.209999,21.270000,21.014999,21.014999,21.014999,18517
2021-09-15,21.020000,21.065001,20.900000,21.065001,21.065001,42161
2021-09-16,21.115000,21.250000,21.084999,21.150000,21.150000,41607
2021-09-17,21.209999,21.209999,21.045000,21.084999,21.084999,20680
2021-09-20,20.725000,20.735001,20.415001,20.415001,20.415001,32265
2021-09-21,20.639999,20.820000,20.504999,20.625000,20.625000,42220
2021-09-22,20.715000,20.895000,20.705000,20.895000,20.895000,23695
2021-09-23,21.030001,21.225000,20.980000,21.225000,21.225000,56112
2021-09-24,21.219999,21.305000,21.135000,21.280001,21.280001,22256
2021-09-27,21.480000,21.625000,21.440001,21.580000,21.580000,33922
2021-09-28,21.700001,21.700001,21.280001,21.330000,21.330000,23884
2021-09-29,21.495001,21.495001,21.344999,21.475000,21.475000,24200
2021-09-30,21.605000,21.629999,21.424999,21.430000,21.430000,29210
2021-10-01,21.010000,21.350000,21.010000,21.350000,21.350000,67445
2021-10-04,21.395000,21.594999,21.254999,21.254999,21.254999,37529
2021-10-05,21.365000,21.780001,21.365000,21.725000,21.725000,80225
2021-10-06,21.650000,21.674999,21.475000,21.549999,21.549999,158598
2021-10-07,21.885000,22.115000,21.840000,22.059999,22.059999,133632
2021-10-08,22.020000,22.200001,21.900000,22.040001,22.040001,172406
2021-10-11,22.004999,22.184999,22.004999,22.145000,22.145000,116668
2021-10-12,21.709999,22.000000,21.709999,21.975000,21.975000,91312
2021-10-13,21.860001,22.000000,21.594999,21.700001,21.700001,182616
2021-10-14,21.830000,22.000000,21.785000,21.965000,21.965000,121854
2021-10-15,22.155001,22.330000,22.115000,22.254999,22.254999,102183
2021-10-18,22.355000,22.365000,22.219999,22.285000,22.285000,119137
2021-10-19,22.264999,22.430000,22.254999,22.379999,22.379999,105313
2021-10-20,22.420000,22.540001,22.395000,22.525000,22.525000,96512
2021-10-21,22.480000,22.594999,22.440001,22.440001,22.440001,97516
2021-10-22,22.555000,22.740000,22.530001,22.620001,22.620001,74564
